sample_id,category,t_start,t_end,t_delta,psnr,clip_similarity_target_image_edit_part,cell_path
00000001,annotation_images,0.6,0.0,0.0,21.112882614135742,11.994175910949707,/00000001/cells/t_start_0p6__t_end_0p0.jpg
00000001,annotation_images,0.6,0.1,0.0,21.464462280273438,13.831916809082031,/00000001/cells/t_start_0p6__t_end_0p1.jpg
00000001,annotation_images,0.6,0.2,0.0,20.86073875427246,20.85219383239746,/00000001/cells/t_start_0p6__t_end_0p2.jpg
00000001,annotation_images,0.6,0.3,0.0,19.790874481201172,21.589454650878906,/00000001/cells/t_start_0p6__t_end_0p3.jpg
00000001,annotation_images,0.6,0.4,0.0,18.18299102783203,19.496212005615234,/00000001/cells/t_start_0p6__t_end_0p4.jpg
00000001,annotation_images,0.6,0.5,0.0,16.559528350830078,20.298952102661133,/00000001/cells/t_start_0p6__t_end_0p5.jpg
00000001,annotation_images,0.6,0.6,0.0,15.482592582702637,22.24494743347168,/00000001/cells/t_start_0p6__t_end_0p6.jpg
00000001,annotation_images,0.6,0.7,0.0,13.284393310546875,21.601036071777344,/00000001/cells/t_start_0p6__t_end_0p7.jpg
00000001,annotation_images,0.6,0.8,0.0,12.522808074951172,19.049739837646484,/00000001/cells/t_start_0p6__t_end_0p8.jpg
00000001,annotation_images,0.6,0.9,0.0,11.666397094726562,20.03863525390625,/00000001/cells/t_start_0p6__t_end_0p9.jpg
00000001,annotation_images,0.6,1.0,0.0,9.831262588500977,17.498577117919922,/00000001/cells/t_start_0p6__t_end_1p0.jpg
00000001,annotation_images,0.7,0.0,0.0,16.11343002319336,13.543473243713379,/00000001/cells/t_start_0p7__t_end_0p0.jpg
00000001,annotation_images,0.7,0.1,0.0,16.39925193786621,13.877728462219238,/00000001/cells/t_start_0p7__t_end_0p1.jpg
00000001,annotation_images,0.7,0.2,0.0,16.23706817626953,13.37401008605957,/00000001/cells/t_start_0p7__t_end_0p2.jpg
00000001,annotation_images,0.7,0.3,0.0,15.771683692932129,15.457727432250977,/00000001/cells/t_start_0p7__t_end_0p3.jpg
00000001,annotation_images,0.7,0.4,0.0,15.022188186645508,19.804039001464844,/00000001/cells/t_start_0p7__t_end_0p4.jpg
