sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
5,0.15,0.6,0.3,22.578373402836178,18.23636817932129
5,0.15,0.6,0.4,20.26387448592134,19.81191635131836
5,0.15,0.6,0.5,18.753051853848987,20.697263717651367
5,0.15,0.6,0.6,17.20290918711956,20.89380073547364
5,0.15,0.6,0.7,17.20290918711956,20.89380073547364
5,0.15,0.6,0.8,17.20290918711956,20.89380073547364
5,0.15,0.6,0.9,17.20290918711956,20.89380073547364
5,0.15,0.6,1.0,17.20290918711956,20.89380073547364
5,0.15,0.7,0.0,27.221654532093662,19.332576751708984
5,0.15,0.7,0.1,25.65368610306126,17.83585548400879
5,0.15,0.7,0.2,24.01629348875312,17.547216415405273
5,0.15,0.7,0.3,21.93983466592944,18.323326110839844
5,0.15,0.7,0.4,19.838290715033903,18.998491287231445
5,0.15,0.7,0.5,18.45155969394284,19.64171600341797
5,0.15,0.7,0.6,16.35958168190328,19.151594161987305
5,0.15,0.7,0.7,14.158693501572367,17.271528244018555
5,0.15,0.7,0.8,14.158693501572367,17.271528244018555
5,0.15,0.7,0.9,14.158693501572367,17.271528244018555
5,0.15,0.7,1.0,14.158693501572367,17.271528244018555
5,0.15,0.8,0.0,22.51532164935724,22.17054748535156
5,0.15,0.8,0.1,22.562019250452447,19.10043907165528
5,0.15,0.8,0.2,21.91588092995503,19.11965560913086
5,0.15,0.8,0.3,20.50895270489152,19.45216178894043
5,0.15,0.8,0.4,19.0468375588447,18.765644073486328
5,0.15,0.8,0.5,17.519391370436217,19.39640998840332
5,0.15,0.8,0.6,15.728481926941663,19.382244110107425
5,0.15,0.8,0.7,13.903046766076878,19.66690254211425
5,0.15,0.8,0.8,11.54000906194385,23.317169189453125
5,0.15,0.8,0.9,11.54000906194385,23.317169189453125
5,0.15,0.8,1.0,11.54000906194385,23.317169189453125
5,0.15,0.9,0.0,17.92643950322057,17.3670597076416
5,0.15,0.9,0.1,18.165940857644376,19.831207275390625
5,0.15,0.9,0.2,18.144434967042947,18.808406829833984
5,0.15,0.9,0.3,17.770757366431116,18.859872817993164
5,0.15,0.9,0.4,17.088738171736214,20.495267868041992
5,0.15,0.9,0.5,16.07486374276213,20.91650581359864
5,0.15,0.9,0.6,14.677133502968331,22.2580680847168
